# x	y	u	v	flags	mask
2.1757e+00	1.9892e+00	2.5773e+00	-4.6961e-03	0.0000e+00	0.0000e+00
2.3933e+00	1.9892e+00	2.5761e+00	4.3825e-03	0.0000e+00	0.0000e+00
2.6109e+00	1.9892e+00	2.5882e+00	-2.6789e-02	0.0000e+00	0.0000e+00
2.8284e+00	1.9892e+00	2.5840e+00	-4.5713e-03	0.0000e+00	0.0000e+00
3.0460e+00	1.9892e+00	2.5547e+00	2.0106e-02	0.0000e+00	0.0000e+00
3.2636e+00	1.9892e+00	2.5673e+00	1.0432e-02	0.0000e+00	0.0000e+00
3.4811e+00	1.9892e+00	2.5775e+00	1.6308e-03	0.0000e+00	0.0000e+00
2.1757e-01	1.7717e+00	2.5904e+00	-2.4932e-03	0.0000e+00	0.0000e+00
4.3514e-01	1.7717e+00	2.5909e+00	2.0638e-02	0.0000e+00	0.0000e+00
6.5271e-01	1.7717e+00	2.5790e+00	1.4493e-02	0.0000e+00	0.0000e+00
8.7029e-01	1.7717e+00	2.5808e+00	-5.0859e-03	0.0000e+00	0.0000e+00
1.0879e+00	1.7717e+00	2.5718e+00	9.7085e-05	0.0000e+00	0.0000e+00
1.3054e+00	1.7717e+00	2.5751e+00	7.7755e-03	0.0000e+00	0.0000e+00
1.5230e+00	1.7717e+00	2.5919e+00	8.6880e-03	0.0000e+00	0.0000e+00
1.7406e+00	1.7717e+00	2.5880e+00	8.1862e-03	0.0000e+00	0.0000e+00
1.9581e+00	1.7717e+00	2.5814e+00	1.0472e-02	0.0000e+00	0.0000e+00
2.1757e+00	1.7717e+00	2.5739e+00	1.6717e-03	0.0000e+00	0.0000e+00
2.3933e+00	1.7717e+00	2.5763e+00	-3.7568e-03	0.0000e+00	0.0000e+00
2.6109e+00	1.7717e+00	2.5901e+00	-9.5817e-03	0.0000e+00	0.0000e+00
2.8284e+00	1.7717e+00	2.5831e+00	-1.6143e-02	0.0000e+00	0.0000e+00
3.0460e+00	1.7717e+00	2.5640e+00	4.2342e-04	0.0000e+00	0.0000e+00
3.2636e+00	1.7717e+00	2.5600e+00	2.3083e-03	0.0000e+00	0.0000e+00
3.4811e+00	1.7717e+00	2.5811e+00	6.1404e-03	0.0000e+00	0.0000e+00
2.1757e-01	1.5541e+00	2.5744e+00	-2.5905e-05	0.0000e+00	0.0000e+00
4.3514e-01	1.5541e+00	2.5935e+00	2.0127e-02	0.0000e+00	0.0000e+00
6.5271e-01	1.5541e+00	2.6185e+00	1.5217e-02	0.0000e+00	0.0000e+00
8.7029e-01	1.5541e+00	2.5825e+00	-6.2174e-03	0.0000e+00	0.0000e+00
1.0879e+00	1.5541e+00	2.5708e+00	-2.8760e-03	0.0000e+00	0.0000e+00
1.3054e+00	1.5541e+00	2.5894e+00	2.4701e-03	0.0000e+00	0.0000e+00
1.5230e+00	1.5541e+00	2.5910e+00	1.5085e-03	0.0000e+00	0.0000e+00
1.7406e+00	1.5541e+00	2.5734e+00	4.3447e-03	0.0000e+00	0.0000e+00
1.9581e+00	1.5541e+00	2.5568e+00	-4.6376e-03	0.0000e+00	0.0000e+00
2.1757e+00	1.5541e+00	2.5721e+00	-2.5811e-03	0.0000e+00	0.0000e+00
2.3933e+00	1.5541e+00	2.5958e+00	-3.6951e-03	0.0000e+00	0.0000e+00
2.6109e+00	1.5541e+00	2.5866e+00	-1.3701e-02	0.0000e+00	0.0000e+00
2.8284e+00	1.5541e+00	2.5860e+00	2.2129e-03	0.0000e+00	0.0000e+00
3.0460e+00	1.5541e+00	2.5636e+00	-1.2229e-03	0.0000e+00	0.0000e+00
3.2636e+00	1.5541e+00	2.5715e+00	5.1378e-03	0.0000e+00	0.0000e+00
3.4811e+00	1.5541e+00	2.5722e+00	2.3613e-03	0.0000e+00	0.0000e+00
2.1757e-01	1.3365e+00	2.5695e+00	-2.0881e-02	0.0000e+00	0.0000e+00
4.3514e-01	1.3365e+00	2.5958e+00	-2.9177e-02	0.0000e+00	0.0000e+00
6.5271e-01	1.3365e+00	2.5821e+00	-1.4526e-02	0.0000e+00	0.0000e+00
8.7029e-01	1.3365e+00	2.5722e+00	-1.3705e-02	0.0000e+00	0.0000e+00
1.0879e+00	1.3365e+00	2.5698e+00	-1.7298e-04	0.0000e+00	0.0000e+00
1.3054e+00	1.3365e+00	2.5789e+00	9.8176e-03	0.0000e+00	0.0000e+00
1.5230e+00	1.3365e+00	2.5921e+00	-6.1359e-04	0.0000e+00	0.0000e+00
1.7406e+00	1.3365e+00	2.5613e+00	1.0149e-02	0.0000e+00	0.0000e+00
1.9581e+00	1.3365e+00	2.5877e+00	-9.1815e-03	0.0000e+00	0.0000e+00
2.1757e+00	1.3365e+00	2.5823e+00	-1.2391e-02	0.0000e+00	0.0000e+00
2.3933e+00	1.3365e+00	2.5903e+00	-4.3052e-03	0.0000e+00	0.0000e+00
2.6109e+00	1.3365e+00	2.5866e+00	-1.8308e-02	0.0000e+00	0.0000e+00
2.8284e+00	1.3365e+00	2.5954e+00	-4.9562e-03	0.0000e+00	0.0000e+00
3.0460e+00	1.3365e+00	2.5703e+00	-2.6979e-03	0.0000e+00	0.0000e+00
3.2636e+00	1.3365e+00	2.5789e+00	-6.7997e-03	0.0000e+00	0.0000e+00
3.4811e+00	1.3365e+00	2.5720e+00	-1.2438e-02	0.0000e+00	0.0000e+00
