# x	y	u	v	flags	mask
1.2443e+01	1.0920e+01	8.7757e-01	-7.6612e-01	1.0000e+00	0.0000e+00
1.2661e+01	1.0920e+01	9.1377e-01	-8.1015e-01	1.0000e+00	0.0000e+00
1.2878e+01	1.0920e+01	1.0133e+00	-8.6981e-01	1.0000e+00	0.0000e+00
1.3096e+01	1.0920e+01	1.4178e+00	-1.4812e+00	0.0000e+00	0.0000e+00
1.3313e+01	1.0920e+01	1.2007e+00	-8.7368e-01	1.0000e+00	0.0000e+00
1.3531e+01	1.0920e+01	1.5214e+00	-1.4726e+00	0.0000e+00	0.0000e+00
1.3748e+01	1.0920e+01	1.2177e+00	-7.1970e-01	1.0000e+00	0.0000e+00
1.3966e+01	1.0920e+01	1.1630e+00	-5.6266e-01	1.0000e+00	0.0000e+00
1.4184e+01	1.0920e+01	1.1921e+00	-4.9225e-01	1.0000e+00	0.0000e+00
1.4401e+01	1.0920e+01	1.1564e+00	-4.0374e-01	1.0000e+00	0.0000e+00
1.4619e+01	1.0920e+01	1.1762e+00	-3.5794e-01	1.0000e+00	0.0000e+00
1.4836e+01	1.0920e+01	1.1826e+00	-3.5823e-01	1.0000e+00	0.0000e+00
1.5054e+01	1.0920e+01	1.1940e+00	-3.5047e-01	1.0000e+00	0.0000e+00
1.5271e+01	1.0920e+01	1.2461e+00	-3.5184e-01	1.0000e+00	0.0000e+00
1.5489e+01	1.0920e+01	1.2596e+00	-3.6375e-01	1.0000e+00	0.0000e+00
1.5707e+01	1.0920e+01	1.1570e+00	-3.6334e-01	1.0000e+00	0.0000e+00
1.5924e+01	1.0920e+01	1.0780e+00	-3.6538e-01	1.0000e+00	0.0000e+00
1.6142e+01	1.0920e+01	7.9715e-01	-3.8042e-01	1.0000e+00	0.0000e+00
1.6359e+01	1.0920e+01	6.4717e-01	-3.6204e-01	1.0000e+00	0.0000e+00
1.6577e+01	1.0920e+01	5.3397e-01	-3.2239e-01	1.0000e+00	0.0000e+00
1.6794e+01	1.0920e+01	3.9509e-01	-2.7383e-01	1.0000e+00	0.0000e+00
1.7012e+01	1.0920e+01	-5.3341e-01	-9.1077e-01	0.0000e+00	0.0000e+00
1.7230e+01	1.0920e+01	2.7313e-01	-1.6375e-01	1.0000e+00	0.0000e+00
1.7447e+01	1.0920e+01	1.7964e-01	-1.0791e-01	1.0000e+00	0.0000e+00
1.7665e+01	1.0920e+01	-9.0084e-02	-5.1199e-02	0.0000e+00	0.0000e+00
1.7882e+01	1.0920e+01	8.3473e-02	1.6929e-01	0.0000e+00	0.0000e+00
1.8100e+01	1.0920e+01	6.7061e-02	1.4105e-01	0.0000e+00	0.0000e+00
1.8317e+01	1.0920e+01	-8.2372e-02	6.2486e-02	0.0000e+00	0.0000e+00
1.8535e+01	1.0920e+01	-3.5543e-01	3.5930e-02	0.0000e+00	0.0000e+00
1.8753e+01	1.0920e+01	1.7612e-01	5.4871e-01	0.0000e+00	0.0000e+00
1.8970e+01	1.0920e+01	1.9717e-01	6.1262e-01	0.0000e+00	0.0000e+00
1.9188e+01	1.0920e+01	3.6635e-01	2.5650e-01	0.0000e+00	0.0000e+00
1.9405e+01	1.0920e+01	3.2869e-01	2.3618e-01	0.0000e+00	0.0000e+00
1.9623e+01	1.0920e+01	9.2897e-01	-8.8286e-02	0.0000e+00	0.0000e+00
2.5901e-01	1.0702e+01	8.5265e-01	-9.3550e-01	1.0000e+00	0.0000e+00
4.7659e-01	1.0702e+01	6.6377e-01	-9.4480e-01	1.0000e+00	0.0000e+00
6.9416e-01	1.0702e+01	5.4130e-01	-7.9465e-01	1.0000e+00	0.0000e+00
9.1173e-01	1.0702e+01	4.2577e-01	-7.5431e-01	1.0000e+00	0.0000e+00
1.1293e+00	1.0702e+01	3.0462e-01	-6.5494e-01	1.0000e+00	0.0000e+00
1.3469e+00	1.0702e+01	2.8450e-01	-2.9346e-01	1.0000e+00	0.0000e+00
1.5644e+00	1.0702e+01	2.4546e-01	-2.7451e-01	1.0000e+00	0.0000e+00
1.7820e+00	1.0702e+01	2.0010e-01	-2.5762e-01	1.0000e+00	0.0000e+00
1.9996e+00	1.0702e+01	5.5788e+00	7.6102e+00	0.0000e+00	0.0000e+00
2.2172e+00	1.0702e+01	-1.9896e-01	-4.6804e-01	1.0000e+00	0.0000e+00
2.4347e+00	1.0702e+01	-3.7022e-01	-6.0758e-01	1.0000e+00	0.0000e+00
2.6523e+00	1.0702e+01	-6.5417e-01	-8.2711e-01	1.0000e+00	0.0000e+00
2.8699e+00	1.0702e+01	-9.6321e-01	-1.0980e+00	1.0000e+00	0.0000e+00
3.0874e+00	1.0702e+01	-1.5314e+00	-1.6169e+00	0.0000e+00	0.0000e+00
3.3050e+00	1.0702e+01	-1.6100e+00	-1.5732e+00	0.0000e+00	0.0000e+00
3.5226e+00	1.0702e+01	-1.3501e+00	-1.2108e+00	1.0000e+00	0.0000e+00
3.7402e+00	1.0702e+01	-1.3894e+00	-1.2590e+00	1.0000e+00	0.0000e+00
3.9577e+00	1.0702e+01	-1.4030e+00	-1.2531e+00	1.0000e+00	0.0000e+00
4.1753e+00	1.0702e+01	-2.0565e+00	1.5286e+00	0.0000e+00	0.0000e+00
4.3929e+00	1.0702e+01	-1.4996e+00	-1.3536e+00	1.0000e+00	0.0000e+00
4.6104e+00	1.0702e+01	-1.5213e+00	-1.3959e+00	1.0000e+00	0.0000e+00
4.8280e+00	1.0702e+01	-1.5412e+00	-1.4356e+00	1.0000e+00	0.0000e+00
5.0456e+00	1.0702e+01	-1.5473e+00	-1.5617e+00	1.0000e+00	0.0000e+00
5.2632e+00	1.0702e+01	-1.6678e+00	-1.7201e+00	1.0000e+00	0.0000e+00
5.4807e+00	1.0702e+01	-1.4655e+00	-1.5204e+00	0.0000e+00	0.0000e+00
5.6983e+00	1.0702e+01	-1.5100e+00	-1.5064e+00	0.0000e+00	0.0000e+00
5.9159e+00	1.0702e+01	-1.6123e+00	-1.5587e+00	0.0000e+00	0.0000e+00
6.1334e+00	1.0702e+01	1.4092e+00	-5.3393e+00	0.0000e+00	0.0000e+00
6.3510e+00	1.0702e+01	1.4890e+00	-1.4964e+00	0.0000e+00	0.0000e+00
6.5686e+00	1.0702e+01	-1.5842e+00	-1.1414e+00	1.0000e+00	0.0000e+00
6.7862e+00	1.0702e+01	-1.1296e+00	-7.5483e-01	1.0000e+00	0.0000e+00
7.0037e+00	1.0702e+01	-2.0588e+00	1.6038e+00	0.0000e+00	0.0000e+00
